"Year","Age","ASFR","OpenInterval"
1926,23,0.16663,FALSE
1926,24,0.19952,FALSE
1926,25,0.21844,FALSE
1926,26,0.22836,FALSE
1926,27,0.23204,FALSE
1926,28,0.2342,FALSE
1926,29,0.2386,FALSE
1926,30,0.22858,FALSE
1926,31,0.20804,FALSE
1926,32,0.19421,FALSE
1926,33,0.18728,FALSE
1926,34,0.1856,FALSE
1926,35,0.17275,FALSE
1926,36,0.15445,FALSE
1926,37,0.13944,FALSE
1926,38,0.12603,FALSE
1926,39,0.11267,FALSE
1926,40,0.10168,FALSE
1926,41,0.0853,FALSE
1926,42,0.06258,FALSE
1926,43,0.04185,FALSE
1926,44,0.02625,FALSE
1926,45,0.015,FALSE
1926,46,0.00958,FALSE
1926,47,0.00751,FALSE
1926,48,0.00679,FALSE
1926,49,0.00623,FALSE
1926,50,0.00674,FALSE
1926,51,0.00326,FALSE
1926,52,0.00069,FALSE
1926,53,0.00011,FALSE
1926,54,2e-05,FALSE
1926,55,0,TRUE
1927,12,0,TRUE
1927,13,1e-05,FALSE
1927,14,1e-04,FALSE
1927,15,0.00049,FALSE
1927,16,0.00195,FALSE
1927,17,0.00596,FALSE
1927,18,0.01457,FALSE
1927,19,0.02917,FALSE
1927,20,0.05086,FALSE
1927,21,0.081,FALSE
1927,22,0.11612,FALSE
1927,23,0.15169,FALSE
1927,24,0.18337,FALSE
1927,25,0.20473,FALSE
1927,26,0.21588,FALSE
1927,27,0.22065,FALSE
1927,28,0.22317,FALSE
1927,29,0.22695,FALSE
1927,30,0.21741,FALSE
1927,31,0.19764,FALSE
1927,32,0.18444,FALSE
1927,33,0.17805,FALSE
1927,34,0.17695,FALSE
1927,35,0.16547,FALSE
1927,36,0.14768,FALSE
1927,37,0.13409,FALSE
1927,38,0.12254,FALSE
1927,39,0.111,FALSE
1927,40,0.10121,FALSE
1927,41,0.08509,FALSE
1927,42,0.06254,FALSE
1927,43,0.04186,FALSE
1927,44,0.02631,FALSE
1927,45,0.01559,FALSE
1927,46,0.00996,FALSE
1927,47,0.00747,FALSE
1927,48,0.00617,FALSE
1927,49,0.00508,FALSE
1927,50,0.00482,FALSE
1927,51,0.00226,FALSE
1927,52,0.00052,FALSE
1927,53,1e-04,FALSE
1927,54,2e-05,FALSE
1927,55,0,TRUE
1928,12,0,TRUE
1928,13,2e-05,FALSE
1928,14,0.00019,FALSE
1928,15,0.00082,FALSE
1928,16,0.00275,FALSE
1928,17,0.00712,FALSE
1928,18,0.01541,FALSE
1928,19,0.02996,FALSE
1928,20,0.05311,FALSE
1928,21,0.08643,FALSE
1928,22,0.12662,FALSE
1928,23,0.16684,FALSE
1928,24,0.19809,FALSE
1928,25,0.21386,FALSE
1928,26,0.22142,FALSE
1928,27,0.22348,FALSE
1928,28,0.22521,FALSE
1928,29,0.23055,FALSE
1928,30,0.22339,FALSE
1928,31,0.20423,FALSE
1928,32,0.1907,FALSE
1928,33,0.18306,FALSE
1928,34,0.17991,FALSE
1928,35,0.1667,FALSE
1928,36,0.14763,FALSE
1928,37,0.13367,FALSE
1928,38,0.12236,FALSE
1928,39,0.11139,FALSE
1928,40,0.10282,FALSE
1928,41,0.08688,FALSE
1928,42,0.06386,FALSE
1928,43,0.04264,FALSE
1928,44,0.02667,FALSE
1928,45,0.01591,FALSE
1928,46,0.01016,FALSE
1928,47,0.0077,FALSE
1928,48,0.00651,FALSE
1928,49,0.00551,FALSE
1928,50,0.00552,FALSE
1928,51,0.00261,FALSE
1928,52,0.00059,FALSE
1928,53,0.00011,FALSE
1928,54,2e-05,FALSE
1928,55,0,TRUE
1929,12,0,TRUE
1929,13,2e-05,FALSE
1929,14,0.00029,FALSE
1929,15,0.0011,FALSE
1929,16,0.00324,FALSE
1929,17,0.00748,FALSE
1929,18,0.01486,FALSE
1929,19,0.02818,FALSE
1929,20,0.05148,FALSE
1929,21,0.08421,FALSE
1929,22,0.12422,FALSE
1929,23,0.16379,FALSE
1929,24,0.19188,FALSE
1929,25,0.20444,FALSE
1929,26,0.20897,FALSE
1929,27,0.20963,FALSE
1929,28,0.21192,FALSE
1929,29,0.21975,FALSE
1929,30,0.21748,FALSE
1929,31,0.20125,FALSE
1929,32,0.18882,FALSE
1929,33,0.18051,FALSE
1929,34,0.17534,FALSE
1929,35,0.16125,FALSE
1929,36,0.14161,FALSE
1929,37,0.1279,FALSE
1929,38,0.11742,FALSE
1929,39,0.10758,FALSE
1929,40,0.10141,FALSE
1929,41,0.08603,FALSE
1929,42,0.0631,FALSE
1929,43,0.04189,FALSE
1929,44,0.026,FALSE
1929,45,0.0154,FALSE
1929,46,0.0098,FALSE
1929,47,0.00746,FALSE
1929,48,0.00639,FALSE
1929,49,0.00549,FALSE
1929,50,0.0057,FALSE
1929,51,0.00272,FALSE
1929,52,0.00061,FALSE
1929,53,0.00011,FALSE
1929,54,2e-05,FALSE
1929,55,0,TRUE
1930,12,0,TRUE
1930,13,2e-05,FALSE
1930,14,0.00027,FALSE
1930,15,0.00103,FALSE
1930,16,0.00315,FALSE
1930,17,0.0075,FALSE
1930,18,0.01523,FALSE
1930,19,0.02892,FALSE
1930,20,0.05309,FALSE
1930,21,0.08631,FALSE
1930,22,0.12629,FALSE
1930,23,0.16515,FALSE
1930,24,0.19216,FALSE
1930,25,0.20295,FALSE
1930,26,0.20595,FALSE
1930,27,0.20586,FALSE
1930,28,0.20843,FALSE
1930,29,0.21759,FALSE
1930,30,0.21529,FALSE
1930,31,0.20015,FALSE
1930,32,0.18858,FALSE
1930,33,0.18087,FALSE
1930,34,0.17601,FALSE
1930,35,0.16336,FALSE
1930,36,0.14418,FALSE
1930,37,0.12974,FALSE
1930,38,0.11785,FALSE
1930,39,0.10644,FALSE
1930,40,0.09591,FALSE
1930,41,0.08073,FALSE
1930,42,0.05917,FALSE
1930,43,0.03943,FALSE
1930,44,0.02462,FALSE
1930,45,0.01466,FALSE
1930,46,0.00935,FALSE
1930,47,0.00725,FALSE
1930,48,0.00642,FALSE
1930,49,0.00574,FALSE
1930,50,0.0056,FALSE
1930,51,0.00269,FALSE
1930,52,0.00059,FALSE
1930,53,1e-04,FALSE
1930,54,2e-05,FALSE
1930,55,0,TRUE
1931,12,0,TRUE
1931,13,3e-05,FALSE
1931,14,0.00036,FALSE
1931,15,0.00127,FALSE
1931,16,0.00365,FALSE
1931,17,0.00817,FALSE
1931,18,0.01578,FALSE
1931,19,0.02933,FALSE
1931,20,0.054,FALSE
1931,21,0.08659,FALSE
1931,22,0.12554,FALSE
1931,23,0.16352,FALSE
1931,24,0.19063,FALSE
1931,25,0.20168,FALSE
1931,26,0.20634,FALSE
1931,27,0.20637,FALSE
1931,28,0.2066,FALSE
1931,29,0.21056,FALSE
1931,30,0.20102,FALSE
1931,31,0.1825,FALSE
1931,32,0.17079,FALSE
1931,33,0.16575,FALSE
1931,34,0.16564,FALSE
1931,35,0.15866,FALSE
1931,36,0.14331,FALSE
1931,37,0.12938,FALSE
1931,38,0.11588,FALSE
1931,39,0.10202,FALSE
1931,40,0.08586,FALSE
1931,41,0.07082,FALSE
1931,42,0.05279,FALSE
1931,43,0.03654,FALSE
1931,44,0.02403,FALSE
1931,45,0.01524,FALSE
1931,46,0.00994,FALSE
1931,47,0.00737,FALSE
1931,48,0.00586,FALSE
1931,49,0.00458,FALSE
1931,50,0.00354,FALSE
1931,51,0.00164,FALSE
1931,52,0.00039,FALSE
1931,53,7e-05,FALSE
1931,54,1e-05,FALSE
1931,55,0,TRUE
1932,12,0,TRUE
1932,13,2e-05,FALSE
1932,14,0.00028,FALSE
1932,15,0.0011,FALSE
1932,16,0.00342,FALSE
1932,17,0.00821,FALSE
1932,18,0.01668,FALSE
1932,19,0.03144,FALSE
1932,20,0.05791,FALSE
1932,21,0.09251,FALSE
1932,22,0.13314,FALSE
1932,23,0.17204,FALSE
1932,24,0.19962,FALSE
1932,25,0.21029,FALSE
1932,26,0.21406,FALSE
1932,27,0.21258,FALSE
1932,28,0.21083,FALSE
1932,29,0.21238,FALSE
1932,30,0.2008,FALSE
1932,31,0.17998,FALSE
1932,32,0.16768,FALSE
1932,33,0.16345,FALSE
1932,34,0.16515,FALSE
1932,35,0.16066,FALSE
1932,36,0.14677,FALSE
1932,37,0.13222,FALSE
1932,38,0.11689,FALSE
1932,39,0.1009,FALSE
1932,40,0.08414,FALSE
1932,41,0.0685,FALSE
1932,42,0.05141,FALSE
1932,43,0.03627,FALSE
1932,44,0.02447,FALSE
1932,45,0.01592,FALSE
1932,46,0.0105,FALSE
1932,47,0.00771,FALSE
1932,48,0.00596,FALSE
1932,49,0.00449,FALSE
1932,50,0.00368,FALSE
1932,51,0.00169,FALSE
1932,52,0.00041,FALSE
1932,53,8e-05,FALSE
1932,54,1e-05,FALSE
1932,55,0,TRUE
1933,12,0,TRUE
1933,13,3e-05,FALSE
1933,14,0.00037,FALSE
1933,15,0.00131,FALSE
1933,16,0.00384,FALSE
1933,17,0.00876,FALSE
1933,18,0.01713,FALSE
1933,19,0.03191,FALSE
1933,20,0.05753,FALSE
1933,21,0.092,FALSE
1933,22,0.13265,FALSE
1933,23,0.1713,FALSE
1933,24,0.19748,FALSE
1933,25,0.20514,FALSE
1933,26,0.20812,FALSE
1933,27,0.2061,FALSE
1933,28,0.20394,FALSE
1933,29,0.20514,FALSE
1933,30,0.19401,FALSE
1933,31,0.17361,FALSE
1933,32,0.16203,FALSE
1933,33,0.15879,FALSE
1933,34,0.16175,FALSE
1933,35,0.15931,FALSE
1933,36,0.14715,FALSE
1933,37,0.13273,FALSE
1933,38,0.11667,FALSE
1933,39,0.09972,FALSE
1933,40,0.08431,FALSE
1933,41,0.06888,FALSE
1933,42,0.05156,FALSE
1933,43,0.0362,FALSE
1933,44,0.0243,FALSE
1933,45,0.01536,FALSE
1933,46,0.01012,FALSE
1933,47,0.0079,FALSE
1933,48,0.00685,FALSE
1933,49,0.00591,FALSE
1933,50,0.0063,FALSE
1933,51,0.00298,FALSE
1933,52,0.00065,FALSE
1933,53,0.00011,FALSE
1933,54,2e-05,FALSE
1933,55,0,TRUE
1934,12,0,TRUE
1934,13,1e-05,FALSE
1934,14,7e-05,FALSE
1934,15,0.00039,FALSE
1934,16,0.00181,FALSE
1934,17,0.00642,FALSE
1934,18,0.01736,FALSE
1934,19,0.03512,FALSE
1934,20,0.05833,FALSE
1934,21,0.08881,FALSE
1934,22,0.1212,FALSE
1934,23,0.15177,FALSE
1934,24,0.1792,FALSE
1934,25,0.19854,FALSE
1934,26,0.20537,FALSE
1934,27,0.20509,FALSE
1934,28,0.20133,FALSE
1934,29,0.19721,FALSE
1934,30,0.1812,FALSE
1934,31,0.15875,FALSE
1934,32,0.14649,FALSE
1934,33,0.1437,FALSE
1934,34,0.14804,FALSE
1934,35,0.14888,FALSE
1934,36,0.13874,FALSE
1934,37,0.12498,FALSE
1934,38,0.10887,FALSE
1934,39,0.09181,FALSE
1934,40,0.07858,FALSE
1934,41,0.06409,FALSE
1934,42,0.04796,FALSE
1934,43,0.03372,FALSE
1934,44,0.02266,FALSE
1934,45,0.01401,FALSE
1934,46,0.00923,FALSE
1934,47,0.00741,FALSE
1934,48,0.00681,FALSE
1934,49,0.0063,FALSE
1934,50,0.00783,FALSE
1934,51,0.00377,FALSE
1934,52,0.00078,FALSE
1934,53,0.00012,FALSE
1934,54,2e-05,FALSE
1934,55,0,TRUE
1935,12,0,TRUE
1935,13,1e-05,FALSE
1935,14,0.00012,FALSE
1935,15,0.00057,FALSE
1935,16,0.00227,FALSE
1935,17,0.00696,FALSE
1935,18,0.01685,FALSE
1935,19,0.03315,FALSE
1935,20,0.05572,FALSE
1935,21,0.08649,FALSE
1935,22,0.12047,FALSE
1935,23,0.15265,FALSE
1935,24,0.17906,FALSE
1935,25,0.19586,FALSE
1935,26,0.20146,FALSE
1935,27,0.20039,FALSE
1935,28,0.19653,FALSE
1935,29,0.19305,FALSE
1935,30,0.1775,FALSE
1935,31,0.15557,FALSE
1935,32,0.14369,FALSE
1935,33,0.14114,FALSE
1935,34,0.14551,FALSE
1935,35,0.14493,FALSE
1935,36,0.13522,FALSE
1935,37,0.12152,FALSE
1935,38,0.10531,FALSE
1935,39,0.08817,FALSE
1935,40,0.07539,FALSE
1935,41,0.06126,FALSE
1935,42,0.0454,FALSE
1935,43,0.03149,FALSE
1935,44,0.02082,FALSE
1935,45,0.01239,FALSE
1935,46,0.00808,FALSE
1935,47,0.00653,FALSE
1935,48,0.00616,FALSE
1935,49,0.0059,FALSE
1935,50,0.00739,FALSE
1935,51,0.00362,FALSE
1935,52,0.00074,FALSE
1935,53,0.00011,FALSE
1935,54,2e-05,FALSE
1935,55,0,TRUE
1936,12,0,TRUE
1936,13,2e-05,FALSE
1936,14,0.00018,FALSE
1936,15,0.00079,FALSE
1936,16,0.0027,FALSE
1936,17,0.00716,FALSE
1936,18,0.0156,FALSE
1936,19,0.02987,FALSE
1936,20,0.05123,FALSE
1936,21,0.08075,FALSE
1936,22,0.1146,FALSE
1936,23,0.14709,FALSE
1936,24,0.1722,FALSE
1936,25,0.18639,FALSE
1936,26,0.19126,FALSE
1936,27,0.19045,FALSE
1936,28,0.18796,FALSE
1936,29,0.18683,FALSE
1936,30,0.17475,FALSE
1936,31,0.15536,FALSE
1936,32,0.14359,FALSE
1936,33,0.13904,FALSE
1936,34,0.13985,FALSE
1936,35,0.13324,FALSE
1936,36,0.12145,FALSE
1936,37,0.10919,FALSE
1936,38,0.09646,FALSE
1936,39,0.08341,FALSE
1936,40,0.07231,FALSE
1936,41,0.0596,FALSE
1936,42,0.0452,FALSE
