"Año","Edad","Mujeres","Varones"
1950,0,30955.66,32593.92
1950,1,30480.83,31927.12
1950,2,30314.09,31834.83
1950,3,30025.95,31584.11
1950,4,29495.6,30938.68
1950,5,28464.88,29741.66
1950,6,27398.49,28583.75
1950,7,26540.19,27631.06
1950,8,25332.61,26432.66
1950,9,24787.66,25831.85
1950,10,25021.32,26036.74
1950,11,24915.14,25951.81
1950,12,24715.94,25565.33
1950,13,24882.87,25598.34
1950,14,24690.08,25593.73
1950,15,23805.45,25216.67
1950,16,22816.46,24731.32
1950,17,21900.12,24134.72
1950,18,20683.38,23207.9
1950,19,19851.29,22488.41
1950,20,19446.82,21706.6
1950,21,18914.97,20591.66
1950,22,18745.25,19859.46
1950,23,18909.23,19494.04
1950,24,19241.5,19470.83
1950,25,19495.33,19616.72
1950,26,19534.77,19646.43
1950,27,19729.81,19742.09
1950,28,19917.53,19987.64
1950,29,19845.47,20033.08
1950,30,19544.28,19713.37
1950,31,18808.4,18947.32
1950,32,18013.49,18290.3
1950,33,18508.31,18960.68
1950,34,19300.66,19844.52
1950,35,19767.29,20177.79
1950,36,19745.19,20128.35
1950,37,19682.69,20305.48
1950,38,19824.03,21123.63
1950,39,19182.01,21164.84
1950,40,17998.06,19844.72
1950,41,16917.75,18365.41
1950,42,16351.28,17568.79
1950,43,16317.87,17556.38
1950,44,16533.95,17642.81
1950,45,16135.78,16931.44
1950,46,15590.3,16316.45
1950,47,15343.61,16052.88
1950,48,15858.28,16586.09
1950,49,17579.49,18348.62
1950,50,17228.93,17903.11
1950,51,15402.63,15996.37
1950,52,14735.92,15196.64
1950,53,14562.36,15002.3
1950,54,14372.76,14803.92
1950,55,13426.25,13858.32
1950,56,12555.36,12937.97
1950,57,12174.49,12416.54
1950,58,12484.46,12740.43
1950,59,12802.27,13161.94
1950,60,12426.78,12736.69
1950,61,12304.64,12325.87
1950,62,12243.4,12228.05
1950,63,12073,12225.51
1950,64,11793.26,12038.32
1950,65,11098.05,11302.03
1950,66,10643.6,10832.94
1950,67,10663.53,10897.84
1950,68,11187.08,11246.65
1950,69,11671.33,11436.26
1950,70,11358.23,11021.45
1950,71,10656.4,10286.65
1950,72,10015.14,9728.25
1950,73,9533.35,9352.59
1950,74,9154.64,8869.55
1950,75,8198.3,8012.94
1950,76,7010.22,6972.32
1950,77,6172,6056.06
1950,78,5666.03,5393.61
1950,79,5294.18,4946.89
1950,80,4643.74,4322.84
1950,81,3822.44,3554.84
1950,82,3189.66,2921.07
1950,83,2695.31,2359.13
1950,84,2253.82,1842.69
1950,85,1781.68,1400.26
1950,86,1360.07,1049.13
1950,87,1065.12,747.99
1950,88,868.76,557.93
1950,89,685.86,448.44
1950,90,502.18,335.8
1950,91,359.61,231.53
1950,92,278.62,163.62
1950,93,218.27,121.25
1950,94,153.3,90.82
1950,95,100.81,63.63
1950,96,76.91,42.41
1950,97,58.19,25.91
1950,98,31.78,15.27
1950,99,17.2,10.59
1950,100,9.84,6.79
1950,101,4.63,3.52
1950,102,2.6,2.67
1950,103,1.03,1.21
1950,104,0.39,0.27
1950,105,0,0.24
1950,106,0,0
1950,107,0,0
1950,108,0,0
1950,109,0,0
1950,110,0,0
2017,0,30799.09,32089.8
2017,1,30877.56,32324.43
2017,2,31191.15,32727.94
2017,3,32109.08,33755.08
2017,4,33013.64,34588.51
2017,5,34456.73,35926.55
2017,6,35344.88,36710.97
2017,7,35467.37,36886.15
2017,8,35363.61,36867.9
2017,9,35042.36,36527.34
2017,10,33265.93,34830.26
2017,11,31754.16,33404.67
2017,12,31265.13,33015.94
2017,13,31218.53,32817.48
2017,14,31338.38,32625
2017,15,30995.58,32091.61
2017,16,30603.35,31740.16
2017,17,30147.82,31494.04
2017,18,30083.67,31582.58
2017,19,29815.76,31294.06
2017,20,29113.03,30432.15
2017,21,27517.49,28591.45
2017,22,27426.91,28281
2017,23,26798.96,27542.74
2017,24,26815.2,27456.29
2017,25,27767.63,28023.96
2017,26,28631.42,28684.13
2017,27,29230.21,28900.25
2017,28,30544.97,29422.45
2017,29,31692.17,29758.72
2017,30,32769.75,30147.28
2017,31,34749.05,31984.98
2017,32,36111.33,33313.2
2017,33,37087.04,34074.34
2017,34,39268.59,35798.02
2017,35,40437.55,37364.59
2017,36,41414.9,39257.81
2017,37,41833.13,40188.63
2017,38,40479.96,38741.92
2017,39,38654.99,37297.75
2017,40,37463.68,36613.69
2017,41,37070.64,36528.35
2017,42,36767.34,36261.3
2017,43,36399.22,35779.43
2017,44,36101.93,35587.03
2017,45,35516.25,35066.96
2017,46,34839.33,34639.9
2017,47,33750.03,33722.65
2017,48,32222.6,32307.37
2017,49,31412.6,31357.82
2017,50,31090.29,30858.12
2017,51,30968.28,30603.38
2017,52,30980.86,30296.8
2017,53,30534.73,29685.81
2017,54,29769.66,29014.39
2017,55,28944.03,28378.2
2017,56,28452.25,27927.76
2017,57,27911.02,27324.18
2017,58,27119.58,26747.32
2017,59,26400.42,26066.57
2017,60,25597.16,25280.15
2017,61,24938.93,24737.26
2017,62,24463.58,24155.16
2017,63,23850.24,23556.4
2017,64,23314.03,23081.57
2017,65,22542.35,22337.51
2017,66,21745,21539.06
2017,67,21441.38,20942.48
2017,68,20994.99,20495.57
2017,69,20317,20046.3
2017,70,19510.36,19229.15
2017,71,18620.74,18110.25
2017,72,17447.05,16766.57
2017,73,16234.04,15465.83
2017,74,15213.76,14295.02
2017,75,13890.29,12930.68
2017,76,12865.98,11771.4
2017,77,12433.23,11065.51
2017,78,11973.11,10394.44
2017,79,11325.19,9607.5
2017,80,10582.37,8783.5
2017,81,10003.16,8022.68
2017,82,9467.86,7288.86
2017,83,8795.44,6585.72
2017,84,7993.48,5818.91
2017,85,7088.94,4940.05
2017,86,6389.69,4187.93
2017,87,5744.85,3520.76
2017,88,5056.25,2848.16
2017,89,4451.94,2385.56
2017,90,3803.25,1951.74
2017,91,3206.61,1506.95
2017,92,2648.66,1134.8
2017,93,2142.45,837.65
2017,94,1653.03,599.92
2017,95,1226.72,409.47
2017,96,884.36,276.24
2017,97,608.73,176.78
2017,98,398.6,101.85
2017,99,256.19,59.76
2017,100,161.68,35.53
2017,101,102.5,18.79
2017,102,65.46,8.53
2017,103,38.23,3.62
2017,104,19.44,1.25
2017,105,9.69,0.23
2017,106,4.29,0
2017,107,1.47,0
