"Año","Edad","Mujeres","Varones"
1958,0,356907.01,374904.85
1958,1,351927.3,368017.24
1958,2,353496.33,370338.15
1958,3,351612.56,367073.84
1958,4,346474.08,360274
1958,5,343878.64,358074.57
1958,6,339178.43,352442.2
1958,7,334080.21,347041.8
1958,8,320313.64,332915.05
1958,9,307942.13,319702.36
1958,10,295927.61,307191.51
1958,11,274919.93,283390.79
1958,12,229497.41,235398.58
1958,13,194132.39,198453.08
1958,14,190280.73,193623.45
1958,15,187056.42,190374.04
1958,16,191912.47,196203.99
1958,17,204357.02,210697.82
1958,18,212902.23,222673.84
1958,19,215148.44,225307.79
1958,20,218611.45,225042.5
1958,21,224814.18,227063.34
1958,22,229111.56,229569
1958,23,227419.07,228067.05
1958,24,224858.1,225971.39
1958,25,230868.49,232061.12
1958,26,238253.36,240032.18
1958,27,246667.59,248539.56
1958,28,247246.61,246852.42
1958,29,240311.48,236162.83
1958,30,233958.14,223783.45
1958,31,229936.31,210577.39
1958,32,239890.26,211545.14
1958,33,238673.14,206976.83
1958,34,229354.67,197993.47
1958,35,224918.67,194342.62
1958,36,203579.95,178572.53
1958,37,188135.63,168841.39
1958,38,179244.3,158957.11
1958,39,146408.51,125955.51
1958,40,121912.42,105113.55
1958,41,124054.68,107033.18
1958,42,136448.5,114554.7
1958,43,164350.62,136601.96
1958,44,182679.3,155689.93
1958,45,189250.03,163015.9
1958,46,189077.92,164670.45
1958,47,187493.27,166534.74
1958,48,189177.32,169560.8
1958,49,182315.9,164333.39
1958,50,180635.36,162654.82
1958,51,176982.86,159286.29
1958,52,169572.83,149066.76
1958,53,164095.35,142887.28
1958,54,158354.54,138339.35
1958,55,155750.57,134192.8
1958,56,149884.07,126922.84
1958,57,151324.08,120449.73
1958,58,142654.94,110919.96
1958,59,126328.81,99295.69
1958,60,124104.96,94906.41
1958,61,118688.9,88626
1958,62,114167.12,82373.05
1958,63,105331.69,75322.75
1958,64,95875.82,68585.8
1958,65,87273.98,60739.66
1958,66,78929.67,54242.21
1958,67,78544.31,52206.29
1958,68,76410.51,49535.15
1958,69,73880.75,47299.1
1958,70,69790.63,43667.16
1958,71,61791.9,38818.52
1958,72,58129.94,35166.64
1958,73,51903.86,30875.71
1958,74,45418.56,27335.21
1958,75,42775.86,24964.68
1958,76,36817.09,21380.81
1958,77,33403.96,18771.78
1958,78,30402.97,16684.41
1958,79,24513.52,13772.78
1958,80,22033.72,12120.99
1958,81,19492.94,10395.2
1958,82,17295.34,8904.23
1958,83,14551.15,7486.26
1958,84,11838.83,5989
1958,85,9492.9,4572.09
1958,86,7202.41,3372.25
1958,87,6033.89,2714.26
1958,88,4766.01,2042.19
1958,89,3211.06,1398.8
1958,90,2512.21,1033.41
1958,91,1885.84,722.58
1958,92,1345.04,484.34
1958,93,1010.39,327.59
1958,94,706.56,217.26
1958,95,448.9,141.44
1958,96,275.99,77.57
1958,97,183.43,54.37
1958,98,89.64,36.32
1958,99,27.89,10.01
1958,100,22.97,6.09
1958,101,11.79,2.48
1958,102,5.62,0.96
1958,103,2.22,0.44
1958,104,0.56,0.06
1958,105,0.05,0
1958,106,0,0
1958,107,0,0
1958,108,0,0
1958,109,0,0
1958,110,0,0
2016,0,178407.08,188218.82
2016,1,181051.41,191371.23
2016,2,180950.64,191266.14
2016,3,183856.43,194442.66
2016,4,191227.56,202608.09
2016,5,196167.1,207638.87
2016,6,206322.51,217347.34
2016,7,212334.08,222838.39
2016,8,203353.43,213661.66
2016,9,191705.93,201823.87
2016,10,181922.42,191431.54
2016,11,177142.86,186643
2016,12,172619.22,181981.76
2016,13,171023.26,180091.9
2016,14,174621.7,183927.65
2016,15,180990.01,190476.56
2016,16,184899.41,194440.53
2016,17,187341.67,197250.8
2016,18,193405.67,203372.41
2016,19,203551.7,213270.84
2016,20,209473.29,218712.49
2016,21,218673.67,226753.16
2016,22,233267.37,242012.29
2016,23,240697.9,250262.92
2016,24,251438.74,261606.18
2016,25,264008.75,274664.41
2016,26,267864.08,278050.27
2016,27,272028.97,281410.64
2016,28,281717.81,291108.14
2016,29,287262.62,296443.26
2016,30,304245.32,312955.61
2016,31,323324.4,332974.36
2016,32,327962.17,336951.33
2016,33,327479.83,336502.33
2016,34,315274.17,323950.17
2016,35,311750,319023
2016,36,313016.17,321128
2016,37,307214.5,315567.83
2016,38,301693.83,309340.17
2016,39,301061.67,308222.17
2016,40,296594.17,302881.17
2016,41,285823.33,292211.83
2016,42,275112.83,280787.83
2016,43,264822.5,269490.67
2016,44,255051.5,258434
2016,45,246170.67,248876.17
2016,46,237982.67,240090.17
2016,47,231871.17,232801.17
2016,48,228744.33,229173.17
2016,49,228561.5,228097
2016,50,230770.5,229409.83
2016,51,234802.83,232457.67
2016,52,240444,236181
2016,53,244538.83,238351.5
2016,54,250639.67,242257.17
2016,55,263414.17,251163.17
2016,56,280097,264181.5
2016,57,294047.17,274818
2016,58,301838.33,278593.67
2016,59,302845.67,276494
2016,60,302551.5,273328
2016,61,298106.5,265187.33
2016,62,291188.67,254536.67
2016,63,287289.83,247065.5
2016,64,282350.67,237758.17
2016,65,272613.67,226091.83
2016,66,259291,211733
2016,67,248406,199141.5
2016,68,234897.33,184972.5
2016,69,215400.33,165180.5
2016,70,175104,130799
2016,71,144937.83,104958.5
2016,72,140801.33,99382.33
2016,73,135812.5,93418.33
2016,74,137545.5,91713.83
2016,75,143516.83,92333
2016,76,144861.17,89604.17
