"Año","Edad","Mujeres","Varones"
1956,0,134501.7,142538.36
1956,1,135476.76,143156.01
1956,2,134492.77,141736.56
1956,3,135622.55,142842.49
1956,4,137225.5,144503.02
1956,5,131929.11,138520.53
1956,6,124292.41,129575.91
1956,7,107219.59,111243.46
1956,8,95589.25,98840.48
1956,9,90107.57,93429.58
1956,10,75893.56,77730.96
1956,11,103343,105508.83
1956,12,124003.67,128143
1956,13,126248,130840.33
1956,14,140762.67,145529.83
1956,15,160298.33,165882
1956,16,165270.83,171144.5
1956,17,159894,164696.67
1956,18,148783.33,151143
1956,19,143679,145091
1956,20,143380.5,145426.17
1956,21,138917.83,142246.33
1956,22,121713,124342.17
1956,23,108578.67,107828
1956,24,109705.83,103728.67
1956,25,116558.17,105492.67
1956,26,120653.5,106381.5
1956,27,119407.33,102645.83
1956,28,117074.33,94798
1956,29,116338.5,85291.83
1956,30,120414.33,81712.5
1956,31,118623.17,76220.5
1956,32,115471.67,70654.5
1956,33,121046,73670.33
1956,34,132034,80846.67
1956,35,142973.17,86778.83
1956,36,128132.33,77871.67
1956,37,89013.33,54824.17
1956,38,67614.17,41492.5
1956,39,70540,42768.5
1956,40,91132.83,54783.5
1956,41,123475.17,74410.83
1956,42,143806.83,88714.83
1956,43,151222.33,95759.83
1956,44,151015.67,97123.17
1956,45,152758.33,98988.67
1956,46,160639.33,106492.17
1956,47,162822.83,111061
1956,48,161461.17,113638.33
1956,49,160862,116118.33
1956,50,157974.67,119720.17
1956,51,155557.67,123431.33
1956,52,153685.83,122963.17
1956,53,154452.83,122683.33
1956,54,154943.67,122937.83
1956,55,149965.67,119060.33
1956,56,146444.33,113840
1956,57,145375.83,107708.33
1956,58,142059.17,101573.5
1956,59,138430.83,96273.33
1956,60,134845.5,91570.67
1956,61,129877.83,86259.17
1956,62,126275,83182.33
1956,63,120081.33,79585.17
1956,64,116765.5,77973.83
1956,65,114343.33,77175.67
1956,66,110302.67,74859.83
1956,67,106117.83,72960.33
1956,68,101232.33,70754.83
1956,69,95909.83,67149.67
1956,70,88773.17,62505.83
1956,71,82201.33,58532.33
1956,72,75006.33,53583.33
1956,73,69282,49457.5
1956,74,63843.83,45721.83
1956,75,58389.67,41942.17
1956,76,54252,39182.83
1956,77,49830.5,36053
1956,78,44848.17,32460.67
1956,79,39843.17,28488.67
1956,80,33502.81,24148.05
1956,81,27977.22,20377.01
1956,82,22878.99,16535.19
1956,83,18761.56,13168.81
1956,84,14026.12,9631.55
1956,85,10679.77,7192.45
1956,86,8917.16,5812.13
1956,87,6719.38,4177.57
1956,88,4867.72,2872.58
1956,89,3619.24,2051.74
1956,90,2525.22,1393.73
1956,91,1648.45,873.06
1956,92,1086.51,526.85
1956,93,718.77,308.4
1956,94,416.31,176.89
1956,95,250.83,92.78
1956,96,136.27,50.21
1956,97,68.08,29.88
1956,98,37.76,12.47
1956,99,17.62,7.28
1956,100,9.37,4.06
1956,101,4.08,1.48
1956,102,1.57,0.2
1956,103,0.26,0
1956,104,0,0
1956,105,0,0
1956,106,0,0
1956,107,0,0
1956,108,0,0
1956,109,0,0
1956,110,0,0
2017,0,72693.8,76440.47
2017,1,72221.71,76191.11
2017,2,71613.26,75660.45
2017,3,70631.92,74516.02
2017,4,69661.72,73550.92
2017,5,69095.63,72948.92
2017,6,69047.98,72680.02
2017,7,68690.87,72055.73
2017,8,68320.05,72016.32
2017,9,67673.78,71868.65
2017,10,64699.46,68844.45
2017,11,63179.42,66728.96
2017,12,63831.79,67307.73
2017,13,63147.65,66798.23
2017,14,61682.11,65525.2
2017,15,61576.25,66105.82
2017,16,62981.21,68645.08
2017,17,62477.42,69864.06
2017,18,61346.96,68732.11
2017,19,62018.5,68804.59
2017,20,64083.22,70695.98
2017,21,61266.73,67364.5
2017,22,59550.29,65450.27
2017,23,60980.07,66355.97
2017,24,65036.74,70043.5
2017,25,69577.79,74699.2
2017,26,88502.87,95626.8
2017,27,104775.39,113160.65
2017,28,107572.97,116265.39
2017,29,109727.9,118627.4
2017,30,108294.66,117012.87
2017,31,106148.93,115206.47
2017,32,104906.35,114146.8
2017,33,103753.81,112958.45
2017,34,104175.22,114414.55
2017,35,102480.65,112598.31
2017,36,102773.76,112609.61
2017,37,100585.8,111089.96
2017,38,97032.9,107129.99
2017,39,95560.12,105173.63
2017,40,89220.03,97790.91
2017,41,83225.77,91432.7
2017,42,80601.02,89046.26
2017,43,81322.22,89128.62
2017,44,82800.02,90986.03
2017,45,99860.54,110035.21
2017,46,104737.56,113893.69
2017,47,106458.06,114009.53
2017,48,111173.04,117901.54
2017,49,115320.78,120992.42
2017,50,121381.18,126102.24
2017,51,128939.86,133551.12
2017,52,133215.4,137558.3
2017,53,138855.59,142529.04
2017,54,138044.39,141198.11
2017,55,137062.74,138871.25
2017,56,134023.89,135160.3
2017,57,130150.57,130738.84
2017,58,124964.22,124545.47
2017,59,118868.51,117559.25
2017,60,118316.95,115644.77
2017,61,120002.84,116154.9
2017,62,121294.22,115999.47
2017,63,119637.01,112690.73
2017,64,119521.42,111320.54
2017,65,119884.37,110653.99
2017,66,115811.87,105626.52
2017,67,110088.69,99373.78
2017,68,94323.27,84673.03
2017,69,83113.3,73578.73
2017,70,77692.97,67969.64
2017,71,63445.01,54409.02
2017,72,84557.5,71173.33
2017,73,100266.5,84079
2017,74,99228,81757.67
2017,75,107482.5,86812.99
2017,76,118559.83,93897.83
2017,77,116963.33,89981.17
2017,78,108659.67,81463.17
2017,79,97775.5,71214.84
2017,80,90653,63543.83
2017,81,85487.33,58171.67
2017,82,78202.67,51471.67
2017,83,63919.33,40025.17
2017,84,52424.16,31226.16
2017,85,49048.16,27830
2017,86,47224.16,25049.17
2017,87,43979.17,21554.34
2017,88,38408.17,17484.67
2017,89,32458.43,13499.9
2017,90,27436.38,9907.64
2017,91,22893.14,7237.67
2017,92,18089.15,5035.73
2017,93,13974.29,3433.42
2017,94,11152.36,2597.49
2017,95,8995.57,1981.88
2017,96,6737.73,1365.83
2017,97,4074.34,780.44
2017,98,1830.71,308.72
2017,99,871.11,133.18
2017,100,596.03,76.7
2017,101,445.25,52.93
2017,102,362.71,41.71
2017,103,241.65,27.32
2017,104,130.53,17.51
2017,105,68.97,9.72
2017,106,33.75,3.53
2017,107,15.38,1.34
2017,108,6.86,0.85
2017,109,2.68,0.23
2017,110,1.27,0.26
