"Año","Edad","Mujeres","Varones"
1959,0,1349964.91,1408482.62
1959,1,1310291.97,1359823.74
1959,2,1281009.47,1332299.18
1959,3,1332066.64,1383720.55
1959,4,1324963.61,1374211.23
1959,5,1275536.5,1320544.51
1959,6,1240348.02,1284121.87
1959,7,1240123.1,1282570.55
1959,8,1206226.51,1244127.61
1959,9,1224124.63,1264936.14
1959,10,1119983.44,1157174.54
1959,11,1077183.04,1105824.04
1959,12,1004493.38,1032618.49
1959,13,786572.81,812918.01
1959,14,515964.62,533963.28
1959,15,432303.73,445028.6
1959,16,525118.67,528130.84
1959,17,845921.46,837233.35
1959,18,1109462.71,1098391.11
1959,19,1197629.23,1217042.62
1959,20,1311638.82,1332164.16
1959,21,1329234.77,1347950.36
1959,22,1234973.31,1245343.38
1959,23,1095931.19,1095766.87
1959,24,943467.43,948256.3
1959,25,878056.08,870137.35
1959,26,965088.34,944251.18
1959,27,1032929.29,1016968.6
1959,28,1126900.87,1119067.2
1959,29,1198375.08,1172757.46
1959,30,1288475.94,1216545.43
1959,31,1273861.28,1194309.37
1959,32,1213448.24,1080675.71
1959,33,1190254.02,941477.69
1959,34,1102486.05,778648.23
1959,35,1048744.4,678851.02
1959,36,931343.6,570215.79
1959,37,776222.08,478500.47
1959,38,713207.55,454346.08
1959,39,685132.5,436588.19
1959,40,757002.41,478244.79
1959,41,693584.62,443781.85
1959,42,602660.4,381092.79
1959,43,726679.02,442942.8
1959,44,876382.11,524087.33
1959,45,948005.44,569855.83
1959,46,948518.14,567371.54
1959,47,903300.29,538533.1
1959,48,913713.17,537597.98
1959,49,869112.15,509639.82
1959,50,815463.35,476876.6
1959,51,797473.77,461513.5
1959,52,752205.45,440243.9
1959,53,733723.78,417835.51
1959,54,712004.53,389587.06
1959,55,739340.39,373725.13
1959,56,724802.81,339076.95
1959,57,624153.56,276765.53
1959,58,670006.66,275670.75
1959,59,613708.41,272021.89
1959,60,536560.67,249684.44
1959,61,504052.02,235326
1959,62,459932.45,226080.98
1959,63,480016.41,231458
1959,64,445340.41,216099.81
1959,65,435814.34,209192.94
1959,66,411644.79,195281.19
1959,67,365217.56,169767.68
1959,68,351405.72,160364.8
1959,69,307806.54,137847.35
1959,70,360406.64,145038.75
1959,71,337989.81,141926.48
1959,72,262009.93,117814.89
1959,73,269063.37,113163.39
1959,74,241838.23,101365.13
1959,75,237958.66,95659.07
1959,76,214644.6,84960.8
1959,77,168525.7,67490.17
1959,78,155067.33,61625.47
1959,79,126979.15,52211.09
1959,80,112658.89,43566.69
1959,81,97033.15,36727.9
1959,82,85571.82,32196.37
1959,83,73382.27,26837.25
1959,84,62895.16,22416.77
1959,85,52486.89,18698.79
1959,86,43286.84,15345.8
1959,87,35063.48,12184.08
1959,88,29492.34,9997.75
1959,89,24781.62,8234.74
1959,90,17951.71,5681.1
1959,91,13359.61,3938.26
1959,92,10992.15,3211.57
1959,93,8648.7,2551.91
1959,94,7391.92,2177
1959,95,6244.98,1848.19
1959,96,4798.24,1420.07
1959,97,3589.5,1073.47
1959,98,2700.84,803.77
1959,99,1981.28,576.79
1959,100,1479.33,430.38
1959,101,1094.93,319.16
1959,102,803.18,235.31
1959,103,583.89,172.21
1959,104,420.66,124.99
1959,105,300.27,90.29
1959,106,212.31,64.87
1959,107,148.64,46.17
1959,108,103.05,32.59
1959,109,70.66,22.97
1959,110,137.65,46.55
2014,0,923588.91,976433.48
2014,1,917584.72,969442.1
2014,2,894798.4,945813.68
2014,3,832520.68,878333.74
2014,4,814453.95,857632.09
2014,5,821737.98,863018.59
2014,6,798720.46,838805.8
2014,7,735016.56,772591
2014,8,711386.4,744350.78
2014,9,719760.15,752638.95
2014,10,715250.28,750531.41
2014,11,704508.25,739886.69
2014,12,665078.45,698539.3
2014,13,651038.28,685222.57
2014,14,635544.47,669202.69
2014,15,638533.65,670702.41
2014,16,641155.52,672165.07
2014,17,652122.99,683251.94
2014,18,682648.78,714408
2014,19,725232.89,761278.25
2014,20,747267.45,785575.87
2014,21,811851.39,846523.44
2014,22,926379.42,965546.17
2014,23,1053716.13,1094913.84
2014,24,1143325.79,1181504.14
2014,25,1180687.05,1216763.31
2014,26,1237795.05,1273565.97
2014,27,1276820.01,1309716.5
2014,28,1248078.29,1263403.52
2014,29,1238965.09,1246707.76
2014,30,1229715.59,1239842.77
2014,31,1219280.95,1223234.25
2014,32,1142245.83,1139060.01
2014,33,1156865.01,1148226.19
2014,34,1151791.77,1135798.28
2014,35,1104444.32,1076517.54
2014,36,1091091.15,1049621.81
2014,37,1079069.98,1030294.71
2014,38,1096565.98,1039336.63
2014,39,1076504.67,1015828.96
2014,40,1043224.3,984530.49
2014,41,1029455.93,969047.62
2014,42,1013543.3,954712.44
2014,43,1006978.28,952814.08
2014,44,982705.45,923421.83
2014,45,925414.68,858008.58
2014,46,912771.05,839239.35
2014,47,929421.69,843511.73
2014,48,974370.72,874452.44
2014,49,1009997.93,896043.82
2014,50,1068607.07,937622.92
2014,51,1132736.11,982196.12
2014,52,1189379.38,1018056.2
2014,53,1255081.99,1067639.91
2014,54,1272554.81,1062997.47
2014,55,1238450,1006221.9
2014,56,1216346.48,972016.16
2014,57,1177495.03,922296.1
2014,58,1207178.14,919849.4
2014,59,1180538.4,876736.26
2014,60,1121368.45,815389.2
2014,61,1070644.9,763146.47
2014,62,1055626.1,737377.94
2014,63,1028679.91,708703.26
2014,64,1030249.62,693904.28
2014,65,944088.16,618011.64
2014,66,839937.55,539037.66
2014,67,783878.3,488521.56
2014,68,594800.63,359658.83
2014,69,393922.11,232195.47
2014,70,323048.99,183623.46
2014,71,387694.34,206713.95
2014,72,592821.23,297745.16
2014,73,741443.14,361803.92
2014,74,793949.58,373188.25
2014,75,814432.09,364523.85
2014,76,793205.56,348545.1
2014,77,693537.99,300082.45
2014,78,558773.16,233364.9
2014,79,445446.59,179012.33
2014,80,362990.55,142005.54
2014,81,373350.57,138749.64
2014,82,380046.27,136902.89
2014,83,371073.69,129572.19
2014,84,355328.14,118328.06
2014,85,324425.16,101551.32
2014,86,281625.62,83894.87
2014,87,229480.51,63076.8
2014,88,183737.45,43500.25
2014,89,140676.17,28672.87
2014,90,104625.8,19087.68
2014,91,71797.19,12217.17
2014,92,46852.78,8051.97
2014,93,30767.63,5479.4
2014,94,20970.85,3774.35
2014,95,16620.97,2980.8
2014,96,10773.29,1885.36
2014,97,6118.68,1039.12
2014,98,4837.47,806.23
2014,99,3852.34,643.29
2014,100,2705.91,473.06
2014,101,1692.54,309
2014,102,1006.52,182.16
2014,103,579.75,112.24
2014,104,334.58,67.4
2014,105,175.11,37.1
2014,106,102.77,22.98
2014,107,57.89,13.41
2014,108,30.39,6.93
2014,109,15.59,3
2014,110,11.48,0.9
