"Año","Edad","Mujeres","Varones"
1872,0,400787.55,417426.99
1872,1,275745.66,282278.77
1872,2,272037.18,282108.49
1872,3,300730.38,311431.61
1872,4,293215.56,300016.86
1872,5,292747.92,300114.82
1872,6,293426.89,304056.06
1872,7,293526.55,301002.67
1872,8,290613.81,299132.33
1872,9,271776.5,281275.98
1872,10,273352.08,278383.3
1872,11,259302.78,266974.29
1872,12,262542.09,274922.3
1872,13,265891.64,277830.22
1872,14,253538.07,262373.25
1872,15,258468.87,259445.08
1872,16,254791.94,248390.93
1872,17,244277.66,233742.51
1872,18,253606.07,234338.53
1872,19,242485.31,224019.91
1872,20,253304.74,231486.03
1872,21,243789.05,249278.69
1872,22,221847.65,239026.28
1872,23,224086.92,226023.79
1872,24,221717.64,213189.33
1872,25,231576.11,211227.83
1872,26,228036.27,219072.9
1872,27,212590.46,212958.05
1872,28,213855.4,210021.25
1872,29,186586.57,187672.85
1872,30,237932.59,219763.38
1872,31,223247.19,213227.75
1872,32,162621.35,173120.36
1872,33,169283.45,175214.73
1872,34,164297.48,169654.3
1872,35,186972.88,182155.31
1872,36,193851.18,189166.64
1872,37,167111.54,170885.78
1872,38,159097.91,163122.79
1872,39,139474.41,143846.8
1872,40,224526.46,212408.8
1872,41,212425.73,206744.89
1872,42,132220.1,143180.61
1872,43,133274.32,140715.25
1872,44,128181.98,132344.89
1872,45,160188.81,159269.39
1872,46,157680.07,158847.9
1872,47,128113.68,132792.63
1872,48,129906.86,132926.26
1872,49,117981.49,122425.81
1872,50,197465.35,189965.26
1872,51,184134.54,181905.57
1872,52,104613.54,117805.92
1872,53,99961.03,110450.06
1872,54,92973.72,98155.37
1872,55,105623.15,105677.73
1872,56,103094.19,105023.14
1872,57,84082.87,89411.2
1872,58,79603.65,84755.82
1872,59,70868.64,75464.8
1872,60,144373.18,131642.5
1872,61,136191.95,128237.31
1872,62,65483.54,75443.92
1872,63,64536.93,72302.45
1872,64,61921.72,67226.64
1872,65,72926.3,74535.74
1872,66,68225.85,70860.08
1872,67,51258.69,57601.05
1872,68,45545.83,50739.87
1872,69,38300.56,41888.73
1872,70,69641.72,64681.71
1872,71,65077.84,62595.96
1872,72,31376.14,37780.89
1872,73,26278.84,31222.71
1872,74,21672.56,25156.47
1872,75,25574.86,27691.09
1872,76,23338.76,25266.05
1872,77,16068.82,18642.96
1872,78,14618.27,16911.47
1872,79,12131.23,13836.24
1872,80,13734.78,14119.6
1872,81,11373.59,11801.44
1872,82,9366.11,9783.17
