"Año","Edad","Mujeres","Varones"
1922,0,446849.54,461921.95
1922,1,452480.82,463987.76
1922,2,427577.73,439102.38
1922,3,359372.64,367637.22
1922,4,326025.47,331448.37
1922,5,349516.32,355195.04
1922,6,379820.11,385139.04
1922,7,404411.29,407120.72
1922,8,418049.48,419024.29
1922,9,418158.45,420482.13
1922,10,415124.26,419291.85
1922,11,416549.16,420089.69
1922,12,422425.23,424617.98
1922,13,428421.73,429380.08
1922,14,429004.92,428458.98
1922,15,424053.63,422624.87
1922,16,419637.55,416993.79
1922,17,416207.55,410056.79
1922,18,412741.7,401821.54
1922,19,410721.7,394599.21
1922,20,406594.16,382155.65
1922,21,402524.29,367674.49
1922,22,399463.02,353952.4
1922,23,392570.5,335722
1922,24,389144.06,323165.84
1922,25,386966.32,317296.81
1922,26,382130.3,313211.92
1922,27,375764.96,310335.06
1922,28,370642.69,308161.28
1922,29,367016.67,306211.56
1922,30,365759.25,305439.27
1922,31,360187.19,301589.65
1922,32,346960.51,293302.42
1922,33,341821.81,290625.88
1922,34,342487.37,291340.11
1922,35,338958.84,288434.42
1922,36,338478.42,288953.39
1922,37,334389.3,288341.45
1922,38,331198.77,286566.58
1922,39,334200.46,289563.03
1922,40,336289.18,294274.95
1922,41,330528.91,292149.3
1922,42,317372.17,282333.93
1922,43,310621.2,276230.73
1922,44,306334.1,273146.89
1922,45,299950.83,271697.34
1922,46,296879.23,273606.55
1922,47,286471.5,268105.53
1922,48,279223.51,262747.9
1922,49,277159.07,259968.29
1922,50,272895.61,255013.96
1922,51,261145.81,244384.77
1922,52,241349.35,227781.25
1922,53,230071.59,216311.12
1922,54,226407.83,209882.65
1922,55,217884.45,200690.4
1922,56,208767.53,192559.08
1922,57,200065.98,185150.29
1922,58,193037.53,177269.77
1922,59,187758.74,170360.74
1922,60,182474.33,164032.78
1922,61,174550.36,155833.71
1922,62,159709.87,142249.33
1922,63,149505.65,131330.43
1922,64,145842.75,125672.3
1922,65,141557.6,120993.17
1922,66,136253.32,115406.13
1922,67,126047.25,105623.55
1922,68,117633.84,97382.99
1922,69,114166.06,92908.24
1922,70,109988.05,87132.18
1922,71,101041.91,77400.66
1922,72,89278.95,66535.89
1922,73,81108.37,59186.26
1922,74,74622.78,53289.15
1922,75,67806.2,47296.29
1922,76,62653.07,42726.82
1922,77,56820.1,37913.94
1922,78,49613.46,32386.93
1922,79,42314.28,27244.1
1922,80,37850.43,23398.47
1922,81,33646.7,20192.85
1922,82,28860.24,16631.91
1922,83,23336.4,12966.24
1922,84,18667.37,10129.9
1922,85,14978.69,7944.02
1922,86,11817.29,6048.93
1922,87,9214.7,4471.2
1922,88,7162.74,3319.98
1922,89,5425.83,2457.76
1922,90,3958.23,1737.33
1922,91,2931.36,1222.07
1922,92,2164.42,860.31
1922,93,1506.36,589.6
1922,94,1031.44,395.16
1922,95,700.81,255.88
1922,96,468.12,161.49
1922,97,301.51,102.64
1922,98,183.23,65.65
1922,99,108.75,36.21
1922,100,68.07,19.85
1922,101,43.25,12.09
1922,102,24.19,7.37
1922,103,13.11,4
1922,104,7.9,1.42
1922,105,4.76,0.74
1922,106,2.21,0.24
1922,107,0.48,0
1922,108,0,0
1922,109,0,0
1922,110,0,0
2016,0,377942.55,398389.91
2016,1,376883.74,396960.92
2016,2,382030.44,402075.88
2016,3,392139.11,412362.53
2016,4,401475.33,421607.04
2016,5,400944.15,420438.98
2016,6,394100.85,412773.82
2016,7,389508.26,407969.99
2016,8,390225,409288.19
2016,9,380030.05,398933.59
2016,10,369095.2,387087.49
2016,11,358754.03,376089.64
2016,12,349339.02,366493.51
2016,13,341374.63,358290.76
2016,14,337289.07,353443.83
2016,15,344865.92,361267.61
2016,16,353402.35,371426.23
2016,17,362756.46,381870.13
2016,18,370245.43,389809.65
2016,19,380680.86,402238.19
2016,20,379880.37,402414.99
2016,21,390660.72,412169.94
2016,22,405687.43,425309.3
2016,23,414302.55,429262.9
2016,24,433936.96,445262.28
2016,25,441860.63,455026.72
2016,26,437422.89,450449.36
2016,27,438025.95,445169.25
2016,28,444897.77,444877.02
2016,29,440617.01,437353.21
2016,30,439745.07,438530.74
2016,31,441966.97,441223.5
2016,32,434467.14,431109.68
2016,33,437799.35,431924.94
2016,34,439077.78,431589.14
2016,35,441476.09,434466.83
2016,36,437453.88,432023.17
2016,37,423798.76,419727.8
2016,38,396860.76,393907.05
2016,39,388246.23,385358.91
2016,40,396582.15,392080.69
2016,41,405600.46,399203.74
2016,42,414190.18,406939.58
2016,43,431291.92,423691.12
2016,44,447558.72,437987.71
2016,45,464768.04,452022.77
2016,46,456850.19,443339.53
2016,47,468069.37,453886.64
2016,48,468355.26,454777.28
2016,49,474679.34,461652.35
2016,50,475096.78,460573
2016,51,477105.65,461486.3
2016,52,471642.26,456817.28
2016,53,463985.54,450993.6
2016,54,452472.54,441545.63
2016,55,436782.18,426774.04
2016,56,417963.13,408037.32
2016,57,412497.55,402100.64
2016,58,399899.71,389264.2
2016,59,386052.82,375223.11
2016,60,373918.93,362444.22
2016,61,361485.07,348613.57
2016,62,360256.1,345919.23
2016,63,355217.84,339995
2016,64,348052.03,331444.45
2016,65,351393.35,332707.61
2016,66,357242.88,336979.71
2016,67,366748.3,345524.53
2016,68,381720.12,359017.39
2016,69,400913.26,375686.72
2016,70,331414.66,308389.98
2016,71,314098.44,289820.45
2016,72,302914.25,277109.99
2016,73,289603.05,261028.18
2016,74,260982.84,230621.13
2016,75,239497.59,208177.46
2016,76,240321.61,206665.65
2016,77,237721.33,202406.58
2016,78,231228.16,194037.88
2016,79,218521.06,179521.07
2016,80,206834.46,165888.32
2016,81,193891.17,151824.9
2016,82,180490.11,137255.31
2016,83,169781.42,124714
2016,84,160854.04,113590.02
2016,85,150491.48,101488.77
2016,86,137333.89,88133.83
2016,87,122058.07,74787.17
2016,88,107006.23,62698.4
2016,89,94199.98,52970.1
2016,90,81640.12,43575.52
2016,91,69508.18,34472.55
2016,92,58771.71,26854.2
2016,93,48861.73,20487.24
2016,94,40163.67,15497
2016,95,33485.64,11769.91
2016,96,23277.27,7454.19
2016,97,13422.66,3872.98
2016,98,8827.27,2281.78
2016,99,6476.83,1533.5
2016,100,4649.47,1007.93
2016,101,3080.16,596.66
2016,102,1913.99,337.41
2016,103,1120.55,184.6
2016,104,626.88,95.97
2016,105,333.26,44.86
2016,106,179.44,21.47
2016,107,94.35,10.33
2016,108,45.82,4.33
2016,109,21.3,1.25
2016,110,14.47,0.17
