"Año","Edad","Mujeres","Varones"
1876,0,35215.22,35823.19
1876,1,33377.16,33636.45
1876,2,32094.2,32493.89
1876,3,32150.84,32637.62
1876,4,31639.72,32107.07
1876,5,30508.33,30418.31
1876,6,29185.17,28780
1876,7,28817.33,28583.17
1876,8,28394.5,28118.17
1876,9,28230.33,27739.5
1876,10,28064.83,27446
1876,11,27908.17,27316.17
1876,12,27751.5,27215.17
1876,13,27409.5,26933.67
1876,14,26882,26412.5
1876,15,26368.33,25796.33
1876,16,25862.17,25229.17
1876,17,25369.33,24567.83
1876,18,24772.33,23794.83
1876,19,24056,23080.5
1876,20,23215,22388.5
1876,21,22503,21716.17
1876,22,21992.67,21064.83
1876,23,21664,20619.33
1876,24,21548.67,20374
1876,25,21431,20132.33
1876,26,21316.67,19897.83
1876,27,21200.83,19666.17
1876,28,21095.67,19519
1876,29,20990.33,19438
1876,30,20892.33,19360
1876,31,20786.67,19281.17
1876,32,20682,19200.83
1876,33,20521.83,19033.67
1876,34,20286.67,18800.33
1876,35,20055.17,18568.67
1876,36,19759.5,18339
1876,37,19455.67,18115.17
1876,38,19080.67,17797.83
1876,39,18586.5,17388
1876,40,18112.67,16996.17
1876,41,17644.83,16603.33
1876,42,17193.5,16222.5
1876,43,16861.17,15919.33
1876,44,16659.33,15670
1876,45,16459.67,15435.67
1876,46,16261.33,15202.83
1876,47,16057.67,14972.83
1876,48,15750.83,14656.17
1876,49,15341.83,14257.83
1876,50,14943.17,13868.17
1876,51,14549.83,13486.83
1876,52,14171,13127.17
1876,53,13706.5,12664
1876,54,13171.17,12113
1876,55,12651.33,11591.17
1876,56,12164.67,11095.17
1876,57,11692,10626.83
1876,58,11209,10182.67
1876,59,10712.83,9785
1876,60,10244.67,9416.33
1876,61,9807.33,9049.5
1876,62,9387.67,8706.67
1876,63,8938.33,8294.67
1876,64,8481,7861.17
1876,65,8048.83,7436.67
1876,66,7644.67,7045.67
1876,67,7258.33,6674.5
1876,68,6807.5,6266.17
1876,69,6281.17,5823.17
1876,70,5609.83,5258
1876,71,5124.33,4818.33
1876,72,4684.17,4412
1876,73,4098.83,3892
1876,74,3595,3425.33
1876,75,3151.5,3021.67
1876,76,2764.5,2660.5
1876,77,2426,2348
1876,78,2018.5,1958.83
1876,79,1681.33,1641.67
1876,80,1229.78,1227.24
1876,81,974.91,992.91
1876,82,825.23,825.59
1876,83,675.55,680.41
1876,84,523.47,539.01
1876,85,413.04,409.26
1876,86,303.73,301.5
1876,87,207.67,212.83
1876,88,145,171.99
1876,89,98.33,112.99
1876,90,74.76,73.25
1876,91,48.57,46.13
1876,92,32.36,29.77
1876,93,26.84,18.45
1876,94,16.61,10.96
1876,95,11.68,8.45
1876,96,8.86,4.71
1876,97,5.69,1.49
1876,98,2.46,0.62
1876,99,1.4,0.24
1876,100,0.63,0
1876,101,0.17,0
1876,102,0,0
1876,103,0,0
1876,104,0,0
1876,105,0,0
1876,106,0,0
1876,107,0,0
1876,108,0,0
1876,109,0,0
1876,110,0,0
2016,0,41716.13,43994.81
2016,1,41930.83,44432.34
2016,2,41568.98,43954.8
2016,3,41047.38,43630.19
2016,4,40832.11,43467.13
2016,5,41403.03,43530.93
2016,6,41163.81,43263.89
2016,7,40415.87,42933.29
2016,8,40322.21,42685.2
2016,9,39527.78,41683.38
2016,10,39316.8,41618.63
2016,11,39408.85,41390.92
2016,12,38988.4,40698.27
2016,13,39033.34,41044.02
2016,14,39009.65,41335.83
2016,15,40491.06,43051.77
2016,16,41656.5,44356.65
2016,17,41936.97,44667.49
2016,18,43079.66,45773.72
2016,19,44835.61,48017.12
2016,20,45814.31,48272.59
2016,21,46335.91,48721.92
2016,22,47587.8,49905.04
2016,23,50147.29,52140.75
2016,24,52632.14,54491.45
2016,25,53591.09,55447.77
2016,26,55007.68,56476.86
2016,27,56150.86,57385.61
2016,28,56780.7,58089.72
2016,29,56819.31,58024.61
2016,30,57997.91,58823
2016,31,58647.48,59897.32
2016,32,58098.24,59642.89
2016,33,59022.88,60444.86
2016,34,59459.3,60635.67
2016,35,59177.79,60718.74
2016,36,58393.28,59700.78
2016,37,57488.69,58419.72
2016,38,57072.9,58129.81
2016,39,57111.31,57814.95
2016,40,56459.01,56945
2016,41,57699.79,58537.7
2016,42,57832.98,58737.85
2016,43,58624.24,59698.32
2016,44,60640.3,61761.94
2016,45,62268.73,63077.66
2016,46,63049.41,63792.65
2016,47,65073.95,65741.44
2016,48,65843.02,66765.49
2016,49,66282.04,67632.66
2016,50,66750.89,68791.34
2016,51,67547.95,69779.69
2016,52,66585.22,68476.14
2016,53,64609.75,66340.15
2016,54,62041.56,63401.44
2016,55,60024.42,61008.54
2016,56,58179.87,59050.71
2016,57,56491.06,57441.99
2016,58,54261.18,55322.44
2016,59,52318.42,53413.25
2016,60,50706.89,51319.4
2016,61,49147.54,48719.85
2016,62,47663.09,46483.22
2016,63,46958.66,45259.05
2016,64,45237.11,43549.6
2016,65,44862.17,42817.42
2016,66,44819.47,42307.85
2016,67,44832.97,41826.39
2016,68,44491.12,41253.44
2016,69,43960.02,40592.46
