"Año","Edad","Mujeres","Varones"
1855,0,45447.59,47243.97
1855,1,41169.33,42408.76
1855,2,38380.59,39569.14
1855,3,36343.37,37508.32
1855,4,35021.1,36294.81
1855,5,33940.74,35293.5
1855,6,32903.1,34210.04
1855,7,32111.77,33384.34
1855,8,31695.78,32573.68
1855,9,32520.62,32017.76
1855,10,32939.99,31450.46
1855,11,32288.02,30824.12
1855,12,31880.3,30434.71
1855,13,31744.7,29836.78
1855,14,32338.52,28647.34
1855,15,32538.49,27579.71
1855,16,31829.19,26950.23
1855,17,30976.84,26182.58
1855,18,29933.32,25041.77
1855,19,28877.35,23341.15
1855,20,27972.44,21990.32
1855,21,27307.26,21414.39
1855,22,26910.52,21066.61
1855,23,26457.09,20817.39
1855,24,25273.17,20355.88
1855,25,24245.16,19892.42
1855,26,23782.31,19515.99
1855,27,23102.55,18958.73
1855,28,22286.52,18299.98
1855,29,21431.38,17643.58
1855,30,20710.08,17095.99
1855,31,20203.69,16708.27
1855,32,19864.49,16473.88
1855,33,19683.85,16381
1855,34,19648.19,16407.83
1855,35,19477.03,16316.61
1855,36,19038.1,15991.85
1855,37,18459.3,15536.02
1855,38,17701.73,14961.98
1855,39,16778.93,14359.54
1855,40,16012.68,13841.37
1855,41,15559.3,13470.71
1855,42,15270.12,13245.16
1855,43,15139.1,13113.22
1855,44,15162.19,12992.33
1855,45,15113.2,12834.81
1855,46,14859.27,12594.84
1855,47,14460.61,12216.68
1855,48,13773.42,11624.92
1855,49,12652.66,10767.06
1855,50,11761.75,10066.61
1855,51,11408.9,9727.88
1855,52,11196.75,9519.5
1855,53,11301.11,9496.19
1855,54,12064.95,9790.18
1855,55,12522.18,9909.31
1855,56,12208.58,9610.77
1855,57,11765.09,9193.08
1855,58,10985.52,8545.04
1855,59,9545.43,7501.01
1855,60,8462.92,6687.69
1855,61,8173.53,6372.97
1855,62,7965.47,6132.68
1855,63,7764.46,5908.94
1855,64,7501.57,5651.44
1855,65,7243.34,5395.2
1855,66,7013.04,5151.67
1855,67,6742.9,4879.46
1855,68,6381.83,4586.02
1855,69,5837.89,4278.91
1855,70,5369.25,3987.78
1855,71,5087.96,3728.1
