"Año","Edad","Mujeres","Varones"
1921,0,106088.94,109053.85
1921,1,105916.45,107909.12
1921,2,107370.01,109253.09
1921,3,108040.49,109856.3
1921,4,107882.86,109672.89
1921,5,107002.01,108802.09
1921,6,105526,107328.28
1921,7,103542.92,105334.26
1921,8,101152.49,102943.49
1921,9,98416.84,100202.71
1921,10,95343.86,97102.59
1921,11,92266.61,93975.17
1921,12,89683.15,91319.17
1921,13,87655.56,89183.42
1921,14,85790.58,87204.93
1921,15,83873.11,85223.52
1921,16,81977.7,83188.43
1921,17,80125.61,80863.66
1921,18,78331.88,78267.65
1921,19,76604.3,75694.28
1921,20,74929.19,73227.35
1921,21,73409.5,71127.2
1921,22,72214.62,69917.95
1921,23,71318.61,69596.02
1921,24,70546.37,69641.83
1921,25,69843.18,69791.69
1921,26,69109.54,69953.19
1921,27,68116.98,69868.77
1921,28,66857,69491.89
1921,29,65527.76,69049.85
1921,30,64170.76,68608.72
1921,31,62913.62,68293.22
1921,32,62032.65,68395.64
1921,33,61500.87,68855.5
1921,34,61048.22,69376.85
1921,35,60558.58,69831.31
1921,36,59837.38,69849.14
1921,37,58502.99,68833.26
1921,38,56547.22,66729.25
1921,39,54372.05,64216.18
1921,40,52194.52,61655.41
1921,41,50071.16,59109
1921,42,48143.48,56874.95
1921,43,46411.52,54976.35
1921,44,44755.55,53180.06
1921,45,43043.5,51255.96
1921,46,41375.9,49315.73
1921,47,39895.31,47523.86
1921,48,38578.84,45845.25
1921,49,37349.79,44238.44
1921,50,36167.53,42675.19
1921,51,34980.78,41065.77
1921,52,33615.53,39215.37
1921,53,32061.44,37092.26
1921,54,30494.25,34943.08
1921,55,28936.91,32809.79
1921,56,27511.21,30856.79
1921,57,26462.58,29489.06
1921,58,25752.13,28692.6
1921,59,25162.51,28088.55
1921,60,24574.19,27489.42
1921,61,23878.7,26788.15
1921,62,22880.96,25693.2
1921,63,21537.49,24133.56
1921,64,20115.16,22492.56
1921,65,18713,20886.77
1921,66,17351.38,19323.05
1921,67,16188.26,17956.31
1921,68,15172.91,16719.07
1921,69,14220.77,15559.67
1921,70,13269.91,14388.04
1921,71,12325.17,13237.88
1921,72,11415.08,12139.26
1921,73,10489.72,11025.25
1921,74,9608.91,9965.1
1921,75,8762.78,8957.74
1921,76,7930,7989.31
1921,77,7159.19,7107.03
1921,78,6415.79,6297.32
1921,79,6032.7,5641.09
1921,80,5699.79,5071.8
1921,81,4977.38,4395.87
1921,82,4227.07,3686.05
1921,83,3610.1,3136.39
1921,84,3121.77,2697.62
1921,85,2627.81,2186.28
1921,86,2170.2,1716.58
1921,87,1776.91,1378.96
1921,88,1404.87,1092.55
1921,89,1091.51,833.18
1921,90,870.96,637.02
1921,91,690.06,484.19
1921,92,518.45,365.26
1921,93,373.77,268.82
1921,94,274.67,196.78
1921,95,205.04,144.69
1921,96,156.5,104.82
1921,97,112.69,75.99
1921,98,70.58,51.67
1921,99,46.39,37.18
1921,100,32.71,28.37
1921,101,20.96,18.94
1921,102,13.18,12.39
1921,103,7.85,7.83
1921,104,4.3,4.88
1921,105,2.09,2.96
1921,106,0.77,1.76
1921,107,0.18,1.03
1921,108,0,0.32
