"Año","Edad","Mujeres","Varones"
1948,0,2292.03,2407.82
1948,1,2258.38,2368.56
1948,2,2018.07,2113.13
1948,3,1660.44,1735.48
1948,4,1500.04,1570
1948,5,1529.89,1592.44
1948,6,1592.43,1629.94
1948,7,1607.5,1654.97
1948,8,1580.04,1645.04
1948,9,1540.05,1595.07
1948,10,1487.54,1525.06
1948,11,1432.55,1470.03
1948,12,1367.56,1427.52
1948,13,1309.99,1397.51
1948,14,1289.96,1367.51
1948,15,1292.46,1322.54
1948,16,1274.99,1267.54
1948,17,1215.04,1210.04
1948,18,1125.1,1150.03
1948,19,1027.56,1087.55
1948,20,977.5,1012.58
1948,21,959.98,935.1
1948,22,930.03,862.61
1948,23,895.01,827.53
1948,24,855.01,835.01
1948,25,822.53,835.05
1948,26,795.01,812.57
1948,27,770.02,787.55
1948,28,727.55,745.08
1948,29,682.53,700.07
1948,30,664.98,667.53
1948,31,669.97,657.5
1948,32,675.01,652.52
1948,33,632.57,630.04
1948,34,580.05,610.02
1948,35,545.01,595
1948,36,529.99,589.98
1948,37,519.99,592.48
1948,38,505.02,582.52
1948,39,480.01,560.02
1948,40,472.47,544.99
1948,41,474.97,530
1948,42,455.05,497.52
1948,43,405.08,442.57
1948,44,357.51,397.51
1948,45,342.51,379.99
1948,46,332.48,379.97
1948,47,339.97,399.95
1948,48,320.05,387.53
1948,49,272.56,342.53
1948,50,257.47,329.92
1948,51,274.96,349.95
1948,52,274.99,340.03
1948,53,237.57,285.07
1948,54,185.05,235
1948,55,162.48,217.48
1948,56,152.48,217.48
1948,57,149.98,212.48
1948,58,152.48,209.97
1948,59,149.99,207.48
1948,60,147.48,202.46
1948,61,157.45,199.98
1948,62,167.46,194.99
1948,63,145.04,169.99
1948,64,114.99,147.48
1948,65,109.95,139.94
1948,66,119.95,144.96
1948,67,127.45,154.94
1948,68,124.99,142.48
1948,69,110,119.98
1948,70,99.97,104.96
1948,71,89.98,102.48
1948,72,82.45,99.97
1948,73,69.98,92.5
1948,74,52.51,72.45
1948,75,37.45,57.47
1948,76,29.96,49.93
1948,77,19.98,19.98
1948,78,39.95,42.46
1948,79,17.47,22.46
1948,80,36.61,39.07
1948,81,33.39,37.51
1948,82,36.11,34.33
1948,83,34.8,30.07
1948,84,30.75,23.78
1948,85,26.41,17.51
1948,86,22.77,14.76
1948,87,21.51,13.51
1948,88,19.25,13.85
1948,89,15.01,13.8
1948,90,11.55,11.47
1948,91,9.23,10.25
1948,92,7.58,9.26
1948,93,7,7.48
1948,94,7.46,7.03
1948,95,6.74,4.7
1948,96,6.54,2.22
1948,97,7.58,2
1948,98,6.98,1.26
1948,99,5.69,1.18
1948,100,6.15,2.27
1948,101,6,2.89
1948,102,4.18,1.97
1948,103,3.17,0.46
1948,104,2.58,0
1948,105,2.3,0.27
1948,106,2.49,0.5
1948,107,1.66,0.23
1948,108,0.57,0
1948,109,0.5,0
1948,110,1.24,0
2008,0,9046.6,9775.03
2008,1,8612.92,9132.41
2008,2,7792.48,8130.38
2008,3,7156.4,7507.58
2008,4,6882.71,7290.2
2008,5,6720.5,7137.51
2008,6,6758.55,7124.04
2008,7,6973.89,7281.41
2008,8,6962.88,7312.89
2008,9,6784.95,7202.56
2008,10,6762.07,7114.79
2008,11,6792.48,7102.15
2008,12,6789.17,7179.3
2008,13,6747.56,7186.89
2008,14,6679.58,7123.86
2008,15,6728.5,7138.25
2008,16,6806.06,7180.51
2008,17,6819.16,7066.28
2008,18,6702.26,6723.12
2008,19,6413.34,6295.14
2008,20,6093.84,5913.17
2008,21,5717.53,5511.77
2008,22,5317.79,5024.42
2008,23,4992.67,4628.3
2008,24,4719.99,4365.99
2008,25,4544.28,4193.86
2008,26,4531.9,4160.73
2008,27,4589.17,4168.41
2008,28,4601.64,4096.89
2008,29,4537,4011.63
2008,30,4457.48,3951.76
2008,31,4437.27,3916.01
2008,32,4444.33,3925.59
2008,33,4510.98,3941.35
2008,34,4599.04,3980.47
2008,35,4673.46,4087.79
2008,36,4758.41,4154.88
2008,37,4724.32,4078.6
2008,38,4559.11,3972.86
2008,39,4430.29,3939.79
2008,40,4373.61,3882.85
2008,41,4271,3802.9
2008,42,4134.91,3741.1
2008,43,4104.42,3732.61
2008,44,4210.99,3786.48
2008,45,4329.29,3831.1
2008,46,4279.66,3756.2
2008,47,4079.47,3580.28
2008,48,3887.76,3441.64
2008,49,3666.67,3301.88
2008,50,3406.19,3112.51
2008,51,3233.31,2970.59
2008,52,3088.22,2810.58
2008,53,2901.21,2599.44
2008,54,2701.37,2466.25
2008,55,2528.28,2376.52
2008,56,2416.88,2279.23
2008,57,2359.58,2161.17
2008,58,2255.2,2039.74
2008,59,2098.74,1942.57
2008,60,1976.71,1860.46
2008,61,1830.62,1702.3
2008,62,1629.53,1486.03
2008,63,1513.31,1351.04
2008,64,1417.51,1280.43
2008,65,1323.49,1213.95
2008,66,1294.42,1179.5
2008,67,1270.21,1168.74
2008,68,1201.45,1117.51
2008,69,1106.05,1005.75
2008,70,1046.11,912.18
2008,71,978.81,822.22
2008,72,850.66,745.13
2008,73,730.17,684.62
2008,74,683.53,599.45
2008,75,658.44,522.39
2008,76,596.89,458.33
2008,77,543.22,401.98
2008,78,493.52,363.6
2008,79,423.9,318.45
2008,80,361.21,267.42
2008,81,329.42,214.63
2008,82,285.58,184.91
2008,83,234.44,157.11
2008,84,195.42,123.68
2008,85,166.25,90.29
2008,86,130.71,68.11
2008,87,104.33,60.42
2008,88,87.35,48.53
2008,89,77.37,36.56
2008,90,54.55,34
2008,91,42.55,26.98
2008,92,39.87,21.62
2008,93,28.24,12.21
2008,94,15.51,4.81
2008,95,16.39,3.65
2008,96,13.83,2.61
2008,97,8.97,1.35
2008,98,3.99,0.4
2008,99,3.27,0
2008,100,3.74,0
2008,101,3.07,0
2008,102,0.97,0
2008,103,0.8,0
2008,104,0.17,0
2008,105,0,0
2008,106,0,0
2008,107,0,0
2008,108,0,0
2008,109,0,0
2008,110,0,0
