"Año","Edad","Mujeres","Varones"
1959,0,407518.29,430021.04
1959,1,389902.07,409400.7
1959,2,389156.79,407247.75
1959,3,385515,403103.88
1959,4,387877.46,405232.68
1959,5,383971.93,400534.9
1959,6,380633.36,397847.54
1959,7,380843.88,398642.01
1959,8,383147.57,398251.83
1959,9,388502.77,400154.5
1959,10,383058.55,393399.02
1959,11,340122.03,350570.98
1959,12,313779.28,322673.03
1959,13,266254.29,273734.03
1959,14,227827.47,233391.28
1959,15,239287.02,241133.49
1959,16,264021.34,262800.9
1959,17,337818.34,332501.19
1959,18,406523.64,397173.07
1959,19,433624.72,423020.4
1959,20,476866.06,449364.18
1959,21,499240.1,469805.25
1959,22,465030.24,442395.87
1959,23,396821.52,384394.52
1959,24,322460.96,324708.68
1959,25,276971.77,272403.22
1959,26,295223.06,276033.84
1959,27,326340.14,303941.27
1959,28,381285.94,354627.94
1959,29,414499.49,377837.46
1959,30,439325.51,388549.64
1959,31,438591.04,384009.49
1959,32,422561.85,346795.05
1959,33,426273.98,314408.1
1959,34,410128.53,281977.75
1959,35,397026.53,261347.49
1959,36,369165.95,232045.13
1959,37,324092.16,201484.28
1959,38,294910.14,187446.18
1959,39,275455.42,172101.01
1959,40,283416.49,174764.71
1959,41,245296.32,152421.84
1959,42,207509.33,127458.93
1959,43,248555.09,149059.5
1959,44,316470.95,185099.68
1959,45,357583.82,210197.08
1959,46,365565.02,217466.97
1959,47,346269.83,210049.5
1959,48,348930.89,212332.44
1959,49,334576.01,204637.09
1959,50,309194.5,195318.92
1959,51,302477.26,193473.31
1959,52,284633.56,187149.24
1959,53,279927.14,178713.88
1959,54,268005.61,167098.94
1959,55,280359.5,164589.13
1959,56,279682.7,154518.07
1959,57,235546.7,127986.87
1959,58,261269.86,131060.36
1959,59,245777.06,128214.76
1959,60,206541.74,116593.89
1959,61,194864.87,111088.44
1959,62,177649.79,106370.4
1959,63,188432.09,109752.6
1959,64,178232.84,102365.75
1959,65,178110.9,100289.4
1959,66,169777.01,95978.66
1959,67,150951.56,83834.89
1959,68,147661.35,79084.41
1959,69,129224.65,68132.24
1959,70,149846.57,70753.04
1959,71,137565.12,68800.23
1959,72,99143.21,55874.66
1959,73,99559.67,52873.23
1959,74,88102.61,46965.67
1959,75,86775.78,44219.71
1959,76,79442.47,39656.66
1959,77,61686.99,31138.36
1959,78,58303.3,28460.47
1959,79,47695.91,23969.03
1959,80,43179.47,20545.66
1959,81,36140.07,17075.02
1959,82,31740.59,14817.45
1959,83,27369.36,12227.84
1959,84,23290.54,10071.68
1959,85,19409.01,8214.79
1959,86,16094.68,6569.32
1959,87,13022.99,5128.47
1959,88,11011.22,4125.57
1959,89,9332.08,3312.37
1959,90,6723.72,2267.21
1959,91,4912.15,1552.48
1959,92,4076.82,1234.72
1959,93,3273.58,970.86
1959,94,2817.15,800.43
1959,95,2418.93,657.2
1959,96,1829.9,502.79
1959,97,1315.85,368.88
1959,98,952.78,254.13
1959,99,667.46,168.8
1959,100,492.86,120.59
1959,101,360.24,85.25
1959,102,260.56,59.77
1959,103,186.56,41.66
1959,104,132.08,28.91
1959,105,92.24,19.66
1959,106,63.53,13.21
1959,107,43.45,8.78
1959,108,29.3,5.59
1959,109,19.42,3.47
1959,110,31.27,3.51
2013,0,245739.12,261575.65
2013,1,247468.18,263497.73
2013,2,238358.55,253617.05
2013,3,241411.83,257179.37
2013,4,248963.3,265291.88
2013,5,233422.62,247508.92
2013,6,225693.81,237774.84
2013,7,212009.58,223784.38
2013,8,203123.78,215076.8
2013,9,201718.07,212955.74
2013,10,191469.91,202790.02
2013,11,182042.14,193370.83
2013,12,183165.32,193994.95
2013,13,185940.91,196301.19
2013,14,193307.01,202607.98
2013,15,204103.56,213618.6
2013,16,217592.01,228425.2
2013,17,228969.63,240927.19
2013,18,235415.04,249055.91
2013,19,252297.88,267342.52
2013,20,271097.45,286630.09
2013,21,287957.26,304242.62
2013,22,306855.91,323713.95
2013,23,323061.03,339830.66
2013,24,341468.49,357799.06
2013,25,358065.14,374136.8
2013,26,374209.29,389643.61
2013,27,380335.82,393988.45
2013,28,380700.77,393223.14
2013,29,387241.32,400032.26
2013,30,373327.85,386684.18
2013,31,348972.79,358346.85
2013,32,351264.59,355849.07
2013,33,344521.04,347231.46
2013,34,335333.71,334753.93
2013,35,328786.55,324171.53
2013,36,335531.21,328675.61
2013,37,340561.65,330981.15
2013,38,333130.77,320408.71
2013,39,325867.24,311816.94
2013,40,327954.07,311499.78
2013,41,331975.89,313930.03
2013,42,326465.64,308332.14
2013,43,316857.01,296263.13
2013,44,306411.74,283247.73
2013,45,313350.1,286680.42
2013,46,312659.5,282207
2013,47,317798.67,283180.5
2013,48,325081.17,285898
2013,49,345008,299289.33
2013,50,362376.33,310193.67
2013,51,374213,317684.17
2013,52,387958,326732.67
2013,53,387743.33,321149.33
