"Año","Edad","Mujeres","Varones"
1940,0,78984.68,84658.33
1940,1,81964.65,85819.56
1940,2,84453.29,88658.44
1940,3,84800.7,88189.35
1940,4,84828.37,88334.73
1940,5,83722.37,88231.34
1940,6,83112.08,86762.45
1940,7,83133.56,85754.86
1940,8,79725.56,82547.8
1940,9,80328.51,84809.25
1940,10,78538.69,82849.51
1940,11,79436.07,81721.41
1940,12,80121.32,81288.98
1940,13,78345.02,79943.98
1940,14,78148.84,80585.43
1940,15,78575.65,78940.03
1940,16,77444.96,76485.52
1940,17,77182.1,76272.45
1940,18,72707.46,71207.62
1940,19,69796.77,66621.37
1940,20,66452.84,68016.25
1940,21,56074.03,59143.59
1940,22,63501.91,62049.52
1940,23,63328.8,62452.99
1940,24,65213.22,63098.87
1940,25,65332.98,62585.51
1940,26,63214.16,60320.77
1940,27,64680.88,61177.47
1940,28,60135.32,57359.61
1940,29,63498.78,59633
1940,30,60147.39,56515.59
1940,31,53540.37,50885.76
1940,32,58449.67,53549.21
1940,33,55263.38,49788.28
1940,34,56380.74,49456.58
1940,35,57250.51,49067.03
1940,36,53540.28,46213.78
1940,37,53410.56,45970.59
1940,38,50430.57,44173.25
1940,39,54925.61,47823.21
1940,40,49434.58,42888.52
1940,41,41513.46,36279.48
1940,42,44511.48,37597.34
1940,43,41864.19,35321.01
1940,44,43988.82,37359.18
1940,45,43236.35,36798.91
1940,46,39167.91,33316.11
1940,47,41840.46,34514.92
1940,48,40577.13,33171.87
1940,49,44657.76,35060.35
1940,50,41768.42,33102.13
1940,51,34685,29373.98
1940,52,37516.55,30921.29
1940,53,35305.07,28287.78
1940,54,36304.17,28524.42
1940,55,36576.21,28543.72
1940,56,32449.37,25459.66
1940,57,31925.49,24833.36
1940,58,29674.55,23528.9
1940,59,36783.04,27703.17
1940,60,34771,26124.09
1940,61,24210.89,19590.94
1940,62,27404.9,21857.73
1940,63,26441.65,21044.68
1940,64,28146.96,20770.79
1940,65,27924.27,20504.04
1940,66,22927.57,17458.28
1940,67,22067.06,15991.18
1940,68,19140.7,13980.76
1940,69,23246.17,15764.39
1940,70,21563.25,14475.86
1940,71,13786.14,10054.74
1940,72,14788.66,10571.38
1940,73,13113.86,9632.58
1940,74,14654.77,9773.43
1940,75,14214.29,8984.72
1940,76,10979.81,7370.13
1940,77,10713.16,6884.7
1940,78,8764.7,5586.34
1940,79,8066.49,4883.5
1940,80,9124.08,4895.01
1940,81,7678.47,4066.95
1940,82,6660.82,3419.84
1940,83,5758.65,2817.98
1940,84,4957.97,2353.03
1940,85,4146,1873.57
1940,86,3404.01,1466.02
1940,87,2849.81,1183.44
1940,88,2373.74,935.6
1940,89,1996.06,736.66
1940,90,1580.13,561.55
1940,91,1175.14,410.76
1940,92,941.14,317.33
1940,93,746.47,247.97
1940,94,616.83,193.37
1940,95,498.82,147.27
1940,96,371.04,107.06
1940,97,261.93,73.88
1940,98,179.7,49.14
1940,99,127.6,29.72
1940,100,82.98,19.14
1940,101,58.31,14.25
1940,102,43.37,10.7
1940,103,28.47,7.24
1940,104,21.49,4.73
1940,105,15.49,3.26
1940,106,11,1.95
1940,107,7.98,1.54
1940,108,6.26,2.26
1940,109,5.76,1.45
1940,110,14.71,1.25
2015,0,40867.52,43047.4
2015,1,39901.63,41995.8
2015,2,42047.5,44240.65
2015,3,44891.75,47465.26
2015,4,48619.37,50566.03
2015,5,47672.97,49268.99
2015,6,47923.23,50203.89
2015,7,48282.48,50743.1
2015,8,48552.17,50634.89
2015,9,50273.76,52721.4
2015,10,50710.74,53351.5
2015,11,50956.62,53432.64
2015,12,52571.47,55423.48
2015,13,51373.71,54387.37
2015,14,54970.8,58099.41
2015,15,56399.85,59069.85
2015,16,54804.38,57109.95
2015,17,54131.75,56069.93
2015,18,54165.57,56368.56
2015,19,52510.15,55129.92
2015,20,52480.85,54563.38
2015,21,53499.7,54774.34
2015,22,55245.07,55807.1
2015,23,55263.82,55884.74
2015,24,55433.12,56188.38
2015,25,55334.78,55935.73
2015,26,55345.35,55755.64
2015,27,55562.11,55547.62
2015,28,56955.4,56342.01
2015,29,57859.72,56756.57
2015,30,61435.41,59684
2015,31,64512.79,62026.55
2015,32,67745.87,64195.89
2015,33,69905.95,65327.66
2015,34,72173.54,67006.71
2015,35,74120.37,68757.31
2015,36,76233.86,70444.33
2015,37,80444.4,74435.78
2015,38,85218.7,78966.22
2015,39,86672.5,80384.81
2015,40,85280,78807.45
2015,41,83915.4,77027.69
2015,42,83864.42,77011.29
2015,43,82648.39,75971.62
2015,44,81200.77,75059.09
2015,45,78992.4,73265.1
2015,46,77798.74,72157.95
2015,47,78484.55,72107.56
2015,48,78499.7,71482.39
